elapsed_s,latency_s,msg_count,version
94,10.657741346899739,213854,Flink 1.16
95,9.615603838118055,226882,Flink 1.16
96,8.579861444307335,240849,Flink 1.16
97,9.530422807726865,286894,Flink 1.16
98,11.927125604681954,301191,Flink 1.16
99,11.669004479384245,283521,Flink 1.16
100,10.636556577751103,244354,Flink 1.16
101,10.681445102564636,208844,Flink 1.16
102,10.149258873958301,188501,Flink 1.16
103,11.509641705653344,240682,Flink 1.16
104,10.565483374241783,263597,Flink 1.16
105,9.847919735391658,276635,Flink 1.16
106,9.736528315625241,266443,Flink 1.16
107,9.966658837788582,283821,Flink 1.16
108,12.147825640712417,229549,Flink 1.16
109,11.70543611803391,213871,Flink 1.16
110,10.694074097009219,279377,Flink 1.16
111,9.976819996605188,288689,Flink 1.16
112,10.445589738564749,250043,Flink 1.16
113,11.571755725190101,263572,Flink 1.16
114,10.968495626477495,228420,Flink 1.16
115,9.983346123557613,198094,Flink 1.16
116,8.96287596212936,232687,Flink 1.16
117,7.954760263121608,161598,Flink 1.16
118,7.261692266687398,26263,Flink 1.16
0,4.715188745972027,73236,Feldera
1,4.596977042523204,191136,Feldera
2,4.735152363056162,246884,Feldera
3,4.651590047725652,249973,Feldera
4,4.758011471906922,207812,Feldera
5,4.368233070483741,222053,Feldera
6,5.058441325031334,199361,Feldera
7,5.750441174333604,192654,Feldera
8,5.796420216080457,170122,Feldera
9,6.67418084979357,125795,Feldera
10,6.306112826013802,98807,Feldera
11,6.011904403470585,97514,Feldera
12,5.577413936815275,80621,Feldera
13,5.943957381421859,117789,Feldera
14,5.189217882778805,69799,Feldera
15,4.216692089942079,247988,Feldera
16,4.710841337164696,244966,Feldera
17,4.767030858792158,242038,Feldera
18,4.377706604508004,225876,Feldera
19,5.122738645392211,260489,Feldera
20,4.839771953088955,222463,Feldera
21,4.893294806743523,254041,Feldera
22,5.982169433874927,205201,Feldera
23,6.000940136324194,100495,Feldera
24,6.383814393712757,100266,Feldera
25,6.553330864072442,121494,Feldera
26,6.067850547707254,99597,Feldera
27,5.60672317054841,98595,Feldera
28,4.772418531651703,137624,Feldera
29,4.908912888961793,246490,Feldera
30,4.809449452000006,250000,Feldera
31,4.445706250261813,239510,Feldera
32,5.0696617553972505,241621,Feldera
33,4.517269873326353,236674,Feldera
34,5.342053599712216,230449,Feldera
35,4.725602757767919,253611,Feldera
36,4.2706228242961775,217803,Feldera
37,4.882786710524314,234095,Feldera
38,4.69769616063014,211467,Feldera
39,4.533004075239694,206859,Feldera
40,5.496811120611017,209377,Feldera
41,6.555936136167435,149991,Feldera
42,6.6480897191071415,86403,Feldera
43,6.190202853266247,89932,Feldera
44,6.191505788618256,85599,Feldera
45,5.577809448357322,85200,Feldera
46,4.633175250866263,91583,Feldera
47,4.78269860036401,156898,Feldera
48,4.350953759246011,243227,Feldera
49,4.101232726314134,246560,Feldera
50,4.713901533057707,280094,Feldera
51,4.395218078760574,258989,Feldera
52,4.553341862487126,236952,Feldera
53,5.033195452452118,238810,Feldera
54,4.639492067433172,249856,Feldera
55,4.816411399469279,226765,Feldera
56,5.162851955355123,226864,Feldera
57,6.103776517307444,186086,Feldera
58,7.36698454708232,144374,Feldera
59,7.229030904035168,82740,Feldera
60,7.194063279196283,75238,Feldera
61,6.485137596714446,72509,Feldera
62,6.243053519376412,72385,Feldera
63,5.914559898132872,78141,Feldera
64,5.224700504785846,87958,Feldera
65,4.652021773711235,133280,Feldera
66,4.715902400409395,234335,Feldera
67,4.120777456703627,254701,Feldera
68,4.825323410907884,260353,Feldera
69,4.618375882916622,233884,Feldera
70,4.75276998173221,273700,Feldera
71,5.133540471620516,223527,Feldera
72,4.609938401420452,243366,Feldera
73,4.777844444991745,244023,Feldera
74,5.00826783950734,243000,Feldera
75,4.356289337875105,184663,Feldera
76,4.940764455188937,221737,Feldera
77,4.971162483198742,223937,Feldera
78,4.634947077805843,216601,Feldera
79,5.479323019347949,221253,Feldera
80,7.121593987980318,176879,Feldera
81,8.489997007589453,100922,Feldera
82,8.967384523985704,60597,Feldera
83,7.956216243761438,66721,Feldera
84,7.029782387769499,67896,Feldera
85,6.724924720543339,64679,Feldera
86,7.293302103903043,90641,Feldera
87,7.361246715228345,58071,Feldera
88,6.388532548383683,82723,Feldera
89,5.9877196830167,41264,Feldera
90,5.567826091392867,78363,Feldera
91,4.644000009763266,102418,Feldera
92,4.483552505009178,252414,Feldera
93,4.626968323387526,255867,Feldera
94,4.8437705109223455,247807,Feldera
95,4.843299411925309,248948,Feldera
96,5.461781312054681,241225,Feldera
97,4.892536280500659,220890,Feldera
98,4.707965041585548,231332,Feldera
99,4.9147194198569855,232839,Feldera
100,4.711218119512631,239300,Feldera
101,4.664061078381661,258684,Feldera
102,4.7948267423616056,220706,Feldera
103,4.833574313897327,254044,Feldera
104,6.061281860345236,210434,Feldera
105,5.820807276944724,124173,Feldera
106,6.31813436405345,134210,Feldera
107,4.659502827596961,173292,Feldera
108,4.933003699801104,264879,Feldera
109,4.93741265703136,226309,Feldera
110,4.777419177311953,206421,Feldera
111,5.028322389224664,256150,Feldera
112,4.955269751521895,248310,Feldera
113,5.422961233888298,228060,Feldera
114,5.886382008871035,237895,Feldera
115,4.494227911261884,182378,Feldera
116,5.30734419004621,188332,Feldera
117,4.838521521521225,244755,Feldera
118,5.517003704086836,232176,Feldera
119,5.288811099089829,208882,Feldera
120,4.718609033590804,218717,Feldera
121,5.3133834466405165,194752,Feldera
122,4.776525027766611,208888,Feldera
123,3.8854361327037057,188328,Feldera
124,3.238570718742962,8654,Feldera
0,8.217699722676453,170559,KDI
1,12.398877792645902,230919,KDI
2,25.019484440384105,182813,KDI
3,22.911235083296027,226843,KDI
4,51.61679362226904,109067,KDI
5,25.07493268289883,135909,KDI
6,38.56001313155969,180862,KDI
7,33.288512268600165,121489,KDI
8,28.796776782916776,98953,KDI
9,58.91314777997988,140134,KDI
10,51.401272440458825,171476,KDI
11,50.02771090188491,184913,KDI
12,64.14709074718482,37059,KDI
13,72.88670576792987,97678,KDI
14,88.85250939693843,68799,KDI
15,62.55710689722594,87093,KDI
16,58.96812171444956,77156,KDI
17,91.46286815109018,29731,KDI
18,65.10303942181255,39572,KDI
19,43.755187581531835,78190,KDI
20,64.82464710360601,56484,KDI
21,77.6342017334482,23883,KDI
22,47.84020908774256,34464,KDI
